"","CH4_Area","Notes","Sample_Volume","CH4_Conc_ppm","CH4_Flag","CH4_Conc_ppm_dilcorr","CH4_Conc_umol","Experiment","Plot_Name","Depth","CO2_Treatment","N_Treatment","Sample_Name","Month","Year"
"1",928215,NA,12,1532.16918767953,"Within Range",1533.16918767953,63.1519836114395,"CO2xN","L19",80,"Elev","Amb","L19-80","May","2025"
"2",549731,NA,12,902.428949368713,"Within Range",903.428949368713,37.2126772851364,"CO2xN","L20",20,"Amb","N","L20-20","May","2025"
"3",427298,NA,12,698.718920418723,"Within Range",699.718920418723,28.821762236024,"CO2xN","L20",40,"Amb","N","L20-40","May","2025"
"4",556440,NA,12,913.591712547149,"Within Range",914.591712547149,37.6724769230159,"CO2xN","L20",80,"Amb","N","L20-80","May","2025"
"5",215125,NA,12,345.695079032772,"Within Range",346.695079032772,14.28053872018,NA,NA,NA,NA,NA,NA,NA,NA
"6",347920,NA,12,566.64591168748,"Within Range",567.64591168748,23.3816108489924,NA,NA,NA,NA,NA,NA,NA,NA
"7",275442,NA,12,446.053461300433,"Within Range",447.053461300433,18.4143492370938,NA,NA,NA,NA,NA,NA,NA,NA
"8",418786,NA,12,684.556237429478,"Within Range",685.556237429478,28.2383944438598,NA,NA,NA,NA,NA,NA,NA,NA
"9",250867,NA,12,405.164371255707,"Within Range",406.164371255707,16.7301077553697,NA,NA,NA,NA,NA,NA,NA,NA
"10",328484,NA,12,534.307341835627,"Within Range",535.307341835627,22.0495694476173,NA,NA,NA,NA,NA,NA,NA,NA
"11",128872,NA,12,202.183108183218,"Within Range",203.183108183218,8.36921092676568,NA,NA,NA,NA,NA,NA,NA,NA
"12",131342,NA,12,206.292815300633,"Within Range",207.292815300633,8.53849175931334,NA,NA,NA,NA,NA,NA,NA,NA
"13",7731,NA,12,0.62277218695366,"Within Range",1.62277218695366,0.0668427746781843,NA,NA,NA,NA,NA,NA,NA,NA
"14",6018,NA,12,-2.22740121067061,"Within Range",-1.22740121067061,-0.0505572521048692,NA,NA,NA,NA,NA,NA,NA,NA
"15",2683,NA,12,-7.77633774369859,"Within Range",-6.77633774369859,-0.27912064341922,NA,NA,NA,NA,NA,NA,NA,NA
"16",12522,NA,12,8.5942729155105,"Within Range",9.5942729155105,0.39519276202063,NA,NA,NA,NA,NA,NA,NA,NA
"17",406618,NA,12,664.310522366844,"Within Range",665.310522366844,27.404463605625,NA,NA,NA,NA,NA,NA,NA,NA
"18",995204,NA,12,1643.62877071131,"Within Range",1644.62877071131,67.7430579804821,NA,NA,NA,NA,NA,NA,NA,NA
"19",310392,NA,12,504.204985087338,"Within Range",505.204985087338,20.8096387502682,NA,NA,NA,NA,NA,NA,NA,NA
"20",574041,NA,12,942.877119419061,"Within Range",943.877119419061,38.8787570581055,NA,NA,NA,NA,NA,NA,NA,NA
"21",612044,NA,12,1006.10837431101,"Within Range",1007.10837431101,41.4832831630888,NA,NA,NA,NA,NA,NA,NA,NA
"22",764693,NA,12,1260.09326571437,"Within Range",1261.09326571437,51.9450442187843,NA,NA,NA,NA,NA,NA,NA,NA
"23",128281,NA,12,201.199773403302,"Within Range",202.199773403302,8.32870688950428,NA,NA,NA,NA,NA,NA,NA,NA
"24",307747,NA,12,499.80410438873,"Within Range",500.80410438873,20.6283643364672,NA,NA,NA,NA,NA,NA,NA,NA
"25",817361,NA,12,1347.72486671033,"Within Range",1348.72486671033,55.5546324328005,NA,NA,NA,NA,NA,NA,NA,NA
"26",665852,NA,12,1095.63676320732,"Within Range",1096.63676320732,45.1710009921271,NA,NA,NA,NA,NA,NA,NA,NA
"27",548788,NA,12,900.859939728339,"Within Range",901.859939728339,37.1480490158682,NA,NA,NA,NA,NA,NA,NA,NA
"28",515561,NA,12,845.575227829413,"Within Range",846.575227829413,34.8708448769771,NA,NA,NA,NA,NA,NA,NA,NA
"29",241330,NA,12,389.296243005186,"Within Range",390.296243005186,16.0764918444356,NA,NA,NA,NA,NA,NA,NA,NA
"30",270052,NA,12,437.085314999677,"Within Range",438.085314999677,18.0449469344898,NA,NA,NA,NA,NA,NA,NA,NA
"31",128299,NA,12,201.22972268594,"Within Range",202.229722685939,8.32994051500462,NA,NA,NA,NA,NA,NA,NA,NA
"32",183121,NA,12,292.445254504128,"Within Range",293.445254504128,12.0871525805625,NA,NA,NA,NA,NA,NA,NA,NA
