Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Notes,Sample_Volume
LabAir,Lab air,unknown,unknown,unknown,,1184,,,NA
Blank1,Blank,unknown,unknown,unknown,,122,,,NA
Blank2,Blank,unknown,unknown,unknown,,149,,,NA
0ppm,Standard,NA,0,NA,,205,,,NA
50ppmCH4,Standard,NA,50,NA,,28793,,,NA
100ppmCH4,Standard,NA,100,NA,,57823,,,NA
250ppmCH4,Standard,NA,250,NA,,155708,,,NA
500ppmCH4,Standard,NA,500,NA,,303161,,,NA
1000ppmCH4,Standard,NA,1000,NA,,615048,,,NA
2500ppmCH4,Standard,NA,2500,NA,,1499453,,,NA
5000ppmCH4,Standard,NA,5000,NA,,3051217,,,NA
10000ppmCH4,Standard,NA,10000,NA,,6028535,,,NA
20000ppmCH4,Standard,NA,20000,NA,,12013657,,,NA
Blank3,Blank,unknown,unknown,unknown,,5647,,,NA
Blank4,Blank,unknown,unknown,unknown,,792,,,NA
Blank5,Blank,unknown,unknown,unknown,,359,,,NA
CheckStdHighTri1,ChkStd,unknown,unknown,unknown,,616507,,,NA
Blank6,Blank,unknown,unknown,unknown,,2244,,,NA
L19-80,Sample,unknown,unknown,unknown,,928215,,,12
L20-20,Sample,unknown,unknown,unknown,,549731,,,12
L20-40,Sample,unknown,unknown,unknown,,427298,,,12
L20-80,Sample,unknown,unknown,unknown,,556440,,,12
P1A-20,Sample,unknown,unknown,unknown,,215125,,,12
P1A-40,Sample,unknown,unknown,unknown,,347920,,,12
P1B-20,Sample,unknown,unknown,unknown,,275442,,,12
P1B-40,Sample,unknown,unknown,unknown,,418786,,,12
P2A-20,Sample,unknown,unknown,unknown,,250867,,,12
P2A-40,Sample,unknown,unknown,unknown,,328484,,,12
CheckStdHighTri2,ChkStd,unknown,unknown,unknown,,620423,,,NA
Blank7,Blank,unknown,unknown,unknown,,621,,,NA
Blank8,Blank,unknown,unknown,unknown,,412,,,NA
P2B-20,Sample,unknown,unknown,unknown,,128872,,,12
P2B-40,Sample,unknown,unknown,unknown,,131342,,,12
P3A-20,Sample,unknown,unknown,unknown,,7731,,,12
P3A-40,Sample,unknown,unknown,unknown,,6018,,,12
P3B-20,Sample,unknown,unknown,unknown,,2683,,,12
P3B-40,Sample,unknown,unknown,unknown,,12522,,,12
P4A-20,Sample,unknown,unknown,unknown,,406618,,,12
P4A-40,Sample,unknown,unknown,unknown,,995204,,,12
P4B-20,Sample,unknown,unknown,unknown,,310392,,,12
P4B-40,Sample,unknown,unknown,unknown,,574041,,,12
CheckStdHighTri3,ChkStd,unknown,unknown,unknown,,616121,,,NA
Blank9,Blank,unknown,unknown,unknown,,502,,,NA
Blank10,Blank,unknown,unknown,unknown,,180,,,NA
P5A-20,Sample,unknown,unknown,unknown,,612044,,,12
P5A-40,Sample,unknown,unknown,unknown,,764693,,,12
P5B-20,Sample,unknown,unknown,unknown,,128281,,,12
P5B-40,Sample,unknown,unknown,unknown,,307747,,,12
P6A-20,Sample,unknown,unknown,unknown,,817361,,,12
P6A-40,Sample,unknown,unknown,unknown,,665852,,,12
P6B-20,Sample,unknown,unknown,unknown,,548788,,,12
P6B-40,Sample,unknown,unknown,unknown,,515561,,,12
P7A-20,Sample,unknown,unknown,unknown,,241330,,,12
P7A-40,Sample,unknown,unknown,unknown,,270052,,,12
CheckStdHighTri4,ChkStd,unknown,unknown,unknown,,611024,,,NA
Blank11,Blank,unknown,unknown,unknown,,773,,,NA
Blank12,Blank,unknown,unknown,unknown,,219,,,NA
P7B-20,Sample,unknown,unknown,unknown,,128299,,,12
P7B-40,Sample,unknown,unknown,unknown,,183121,,,12
CheckStdHighTri5,ChkStd,unknown,unknown,unknown,,608618,,,NA
Blank13,Blank,unknown,unknown,unknown,,1132,,,NA
Blank14,Blank,unknown,unknown,unknown,,215,,,NA
