"","CH4_Area","Sample_Volume","Notes","CH4_Conc_ppm","CH4_Flag","CH4_Conc_ppm_dilcorr","CH4_Conc_umol","Experiment","Plot_Name","Depth","CO2_Treatment","N_Treatment","Sample_Name","Month","Year"
"1",160682,12,NA,213.761640928993,"Within Range",214.761640928993,8.85811280697339,"CO2xN","L7",80,"Amb","Amb","L7-80","May","2025"
"2",434378,12,NA,680.324607784737,"Within Range",681.324607784737,28.1020866101482,"CO2xN","L8",20,"Elev","Amb","L8-20","May","2025"
"3",527029,12,NA,838.264531795871,"Within Range",839.264531795871,34.616516550074,"CO2xN","L8",40,"Elev","Amb","L8-40","May","2025"
"4",260466,12,NA,383.86101791928,"Within Range",384.86101791928,15.8740746112233,"CO2xN","L8",80,"Elev","Amb","L8-80","May","2025"
"5",309754,12,NA,467.881082189075,"Within Range",468.881082189075,19.3395873728672,"CO2xN","L9",20,"Elev","Amb","L9-20","May","2025"
"6",313129,12,NA,473.634363249588,"Within Range",474.634363249588,19.576888654529,"CO2xN","L9",40,"Elev","Amb","L9-40","May","2025"
"7",471665,12,NA,743.886856941283,"Within Range",744.886856941283,30.723791169948,"CO2xN","L9",80,"Elev","Amb","L9-80","May","2025"
"8",680970,12,NA,1100.68403986592,"Within Range",1101.68403986592,45.4403377649786,"CO2xN","L10",20,"Amb","N","L10-20","May","2025"
"9",328049,12,NA,499.068127226729,"Within Range",500.068127226729,20.6259360982014,"CO2xN","L10",40,"Amb","N","L10-40","May","2025"
"10",637943,12,NA,1027.33695121683,"Within Range",1028.33695121683,42.4150452476265,"CO2xN","L10",80,"Amb","N","L10-80","May","2025"
"11",100426,12,NA,111.044691719433,"Within Range",112.044691719433,4.62142361354674,"CO2xN","L11",20,"Amb","N","L11-20","May","2025"
"12",237443,12,NA,344.614265369298,"Within Range",345.614265369298,14.2552931570899,"CO2xN","L11",40,"Amb","N","L11-40","May","2025"
"13",209943,12,NA,297.735678950304,"Within Range",298.735678950304,12.321727158364,"CO2xN","L11",80,"Amb","N","L11-80","May","2025"
"14",508181,12,NA,806.134801002228,"Within Range",807.134801002228,33.2912855702927,"CO2xN","L12",20,"Elev","N","L12-20","May","2025"
"15",653696,12,NA,1054.1907101935,"Within Range",1055.1907101935,43.5226621631876,"CO2xN","L12",40,"Elev","N","L12-40","May","2025"
"16",484446,12,NA,765.674319232962,"Within Range",766.674319232962,31.622442334665,"CO2xN","L12",80,"Elev","N","L12-80","May","2025"
