Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Sample_Volume,Notes
LabAir,Lab air,unknown,unknown,unknown,252796,2154,2086,NA,
Blank1,Blank,unknown,unknown,unknown,52701,936,,NA,
Blank2,Blank,unknown,unknown,unknown,26360,657,,NA,
0ppm,Standard,0,0,0,28878,330,,NA,
50ppmCH4,Standard,1000,50,0.833333333,3268938,31006,,NA,
100ppmCH4,Standard,2000,100,1.666666667,6154497,62938,173905,NA,
250ppmCH4,Standard,12500,250,2.5,4683818,176707,,NA,
500ppmCH4,Standard,25000,500,3.333333333,7196323,303328,,NA,
1000ppmCH4,Standard,50000,1000,4.166666667,12885114,626026,,NA,
2500ppmCH4,Standard,NA,2500,NA,94708,1567384,,NA,
5000ppmCH4,Standard,NA,5000,NA,3030029,3020011,,NA,
10000ppmCH4,Standard,NA,10000,NA,,5794073,,NA,
20000ppmCH4,Standard,NA,20000,NA,,11563239,,NA,
Blank3,Blank,unknown,unknown,unknown,,1962,,NA,
Blank4,Blank,unknown,unknown,unknown,,1837,,NA,
CheckStdHighTri1,ChkStd,unknown,unknown,unknown,,586382,,NA,
Blank5,Blank,unknown,unknown,unknown,,832,,NA,
L1-20,Sample,unknown,unknown,unknown,,926026,,12,
L1-40,Sample,unknown,unknown,unknown,,1250268,,12,
L1-80,Sample,unknown,unknown,unknown,,701664,,12,
L2-20,Sample,unknown,unknown,unknown,,717389,,12,
L2-40,Sample,unknown,unknown,unknown,,597692,,12,
L2-80,Sample,unknown,unknown,unknown,,416034,,12,
L3-20,Sample,unknown,unknown,unknown,,1896443,,12,
L3-40,Sample,unknown,unknown,unknown,,1501655,,12,
L3-80,Sample,unknown,unknown,unknown,,1061558,,12,
L4-20,Sample,unknown,unknown,unknown,,882247,,12,
CheckStdHighTri2,ChkStd,unknown,unknown,unknown,,603048,,NA,
Blank6,Blank,unknown,unknown,unknown,,1614,,NA,
L4-40,Sample,unknown,unknown,unknown,,476312,,12,
L4-80,Sample,unknown,unknown,unknown,,820800,,12,
L5-20,Sample,unknown,unknown,unknown,,814202,,12,
L5-40,Sample,unknown,unknown,unknown,,1069598,,12,
L5-80,Sample,unknown,unknown,unknown,,1101261,,12,
L6-20,Sample,unknown,unknown,unknown,,609248,,12,
L6-40,Sample,unknown,unknown,unknown,,489565,,12,
L6-80,Sample,unknown,unknown,unknown,,716977,,12,
L7-20,Sample,unknown,unknown,unknown,,182265,,12,
L7-40,Sample,unknown,unknown,unknown,,166286,,12,Sample seemed underpressurized
CheckStdHighTri3,ChkStd,unknown,unknown,unknown,,605224,,NA,
Blank7,Blank,unknown,unknown,unknown,,1221,,NA,
